,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,class
1,b'<0',6.0,b'critical/other existing credit',b'radio/tv',1169.0,b'no known savings',b'>=7',4.0,b'male single',b'none',4.0,b'real estate',67.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
2,b'0<=X<200',48.0,b'existing paid',b'radio/tv',5951.0,b'<100',b'1<=X<4',2.0,b'female div/dep/mar',b'none',2.0,b'real estate',22.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
3,b'no checking',12.0,b'critical/other existing credit',b'education',2096.0,b'<100',b'4<=X<7',2.0,b'male single',b'none',3.0,b'real estate',49.0,b'none',b'own',1.0,b'unskilled resident',2.0,b'none',b'yes',b'good'
4,b'<0',42.0,b'existing paid',b'furniture/equipment',7882.0,b'<100',b'4<=X<7',2.0,b'male single',b'guarantor',4.0,b'life insurance',45.0,b'none',b'for free',1.0,b'skilled',2.0,b'none',b'yes',b'good'
5,b'<0',24.0,b'delayed previously',b'new car',4870.0,b'<100',b'1<=X<4',3.0,b'male single',b'none',4.0,b'no known property',53.0,b'none',b'for free',2.0,b'skilled',2.0,b'none',b'yes',b'bad'
6,b'no checking',36.0,b'existing paid',b'education',9055.0,b'no known savings',b'1<=X<4',2.0,b'male single',b'none',4.0,b'no known property',35.0,b'none',b'for free',1.0,b'unskilled resident',2.0,b'yes',b'yes',b'good'
7,b'no checking',24.0,b'existing paid',b'furniture/equipment',2835.0,b'500<=X<1000',b'>=7',3.0,b'male single',b'none',4.0,b'life insurance',53.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
8,b'0<=X<200',36.0,b'existing paid',b'used car',6948.0,b'<100',b'1<=X<4',2.0,b'male single',b'none',2.0,b'car',35.0,b'none',b'rent',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
9,b'no checking',12.0,b'existing paid',b'radio/tv',3059.0,b'>=1000',b'4<=X<7',2.0,b'male div/sep',b'none',4.0,b'real estate',61.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
