status of checking account,duration in month,credit history,purpose,credit amount,savings account/bonds,present employment since,installment rate in percentage,personal status and sex,other debtors / guarantors,present residence since,property,age,other installment plans,housing,number of existing credits,job,no of people being liable,telephone,foreign worker,class
x < 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,x >= 7 years,4,male:single,none,4,real estate,67,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,48,existing credits paid back duly till now,radio/television,5951,x <  100 DM,1  <= x < 4 years,2,female:divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee/official,1,none,yes,2
no checking account,12,critical account/ other credits existing (not at this bank),education,2096,x <  100 DM,4  <= x < 7 years,2,male:single,none,3,real estate,49,none,own,1,unskilled-resident,2,none,yes,1
x < 0 DM,42,existing credits paid back duly till now,furniture/equipment,7882,x <  100 DM,4  <= x < 7 years,2,male:single,guarantor,4,if not A121:building society savings agreement/life insurance,45,none,for free,1,skilled employee/official,2,none,yes,1
x < 0 DM,24,delay in paying off in the past,car (new),4870,x <  100 DM,1  <= x < 4 years,3,male:single,none,4,unknown/no property,53,none,for free,2,skilled employee/official,2,none,yes,2
no checking account,36,existing credits paid back duly till now,education,9055,unknown/ no savings account,1  <= x < 4 years,2,male:single,none,4,unknown/no property,35,none,for free,1,unskilled-resident,2,"yes, registered under the customers name",yes,1
no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,500 <= x < 1000 DM,x >= 7 years,3,male:single,none,4,if not A121:building society savings agreement/life insurance,53,none,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,36,existing credits paid back duly till now,car (used),6948,x <  100 DM,1  <= x < 4 years,2,male:single,none,2,car or other,35,none,rent,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,12,existing credits paid back duly till now,radio/television,3059,x >= 1000 DM,4  <= x < 7 years,2,male:divorced/separated,none,4,real estate,61,none,own,1,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),5234,x <  100 DM,unemployed,4,male:married/widowed,none,2,car or other,28,none,own,2,management/self-employed/highly qualified employee/ officer,1,none,yes,2
0 <= x < 200 DM,12,existing credits paid back duly till now,car (new),1295,x <  100 DM, x < 1 year,3,female:divorced/separated/married,none,1,car or other,25,none,rent,1,skilled employee/official,1,none,yes,2
x < 0 DM,48,existing credits paid back duly till now,business,4308,x <  100 DM, x < 1 year,3,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,24,none,rent,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,12,existing credits paid back duly till now,radio/television,1567,x <  100 DM,1  <= x < 4 years,1,female:divorced/separated/married,none,1,car or other,22,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,24,critical account/ other credits existing (not at this bank),car (new),1199,x <  100 DM,x >= 7 years,4,male:single,none,4,car or other,60,none,own,2,unskilled-resident,1,none,yes,2
x < 0 DM,15,existing credits paid back duly till now,car (new),1403,x <  100 DM,1  <= x < 4 years,2,female:divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee/official,1,none,yes,1
x < 0 DM,24,existing credits paid back duly till now,radio/television,1282,100 <= x <  500 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,2,car or other,32,none,own,1,unskilled-resident,1,none,yes,2
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2424,unknown/ no savings account,x >= 7 years,4,male:single,none,4,if not A121:building society savings agreement/life insurance,53,none,own,2,skilled employee/official,1,none,yes,1
